Training began at: 2018-01-01
Training completed at: 
A2C algorithm
Number of Products 4
State Setting: INVENTORY
Reward function: VALUE_ADD
Planning Time Horizon = 7
Random seed: 
==============================================================================
Episode Results: 
total_reward	on_time	late	not_shipped	
-11000.402188	0.571429	0.183673	0.244898	
-22292.262232	0.551020	0.102041	0.346939	
12529.912810	0.653061	0.204082	0.142857	
-23311.587003	0.632653	0.061224	0.306122	
-2574.911587	0.714286	0.061224	0.224490	
-31232.744973	0.469388	0.183673	0.346939	
-2389.570104	0.734694	0.061224	0.204082	
13619.203202	0.816327	0.061224	0.122449	
8185.603851	0.734694	0.102041	0.163265	
-11296.975973	0.632653	0.081633	0.285714	
8571.121331	0.775510	0.061224	0.163265	
7629.872585	0.775510	0.081633	0.142857	
-18831.329513	0.530612	0.163265	0.306122	
-10716.758291	0.591837	0.163265	0.244898	
9075.540349	0.734694	0.142857	0.122449	
24915.404278	0.693878	0.265306	0.040816	
-9279.046164	0.653061	0.122449	0.224490	
21479.094371	0.734694	0.163265	0.102041	
-20040.586662	0.632653	0.020408	0.346939	
-5359.940861	0.612245	0.102041	0.285714	
-12366.938297	0.571429	0.102041	0.326531	
17877.639087	0.673469	0.163265	0.163265	
18052.554756	0.530612	0.408163	0.061224	
-47211.586777	0.346939	0.224490	0.428571	
11203.891084	0.693878	0.122449	0.183673	
21274.366589	0.571429	0.326531	0.102041	
17209.110863	0.734694	0.183673	0.081633	
30482.540066	0.877551	0.081633	0.040816	
-138.776970	0.693878	0.122449	0.183673	
6579.023555	0.714286	0.163265	0.122449	
13176.003196	0.734694	0.142857	0.122449	
10558.102839	0.775510	0.081633	0.142857	
29791.736942	0.795918	0.183673	0.020408	
-2244.402344	0.632653	0.122449	0.244898	
-11621.638636	0.673469	0.061224	0.265306	
-62983.109080	0.469388	0.040816	0.489796	
15684.817232	0.755102	0.142857	0.102041	
-9419.521826	0.714286	0.040816	0.244898	
10194.314559	0.714286	0.102041	0.183673	
20464.375082	0.816327	0.081633	0.102041	
14837.866147	0.755102	0.102041	0.142857	
16462.368275	0.795918	0.061224	0.142857	
-26579.224626	0.551020	0.081633	0.367347	
22949.488488	0.632653	0.285714	0.081633	
1148.727510	0.693878	0.142857	0.163265	
-22306.974120	0.408163	0.265306	0.326531	
-11377.093973	0.693878	0.040816	0.265306	
20816.079205	0.714286	0.265306	0.020408	
-5804.600902	0.612245	0.122449	0.265306	
-20425.900683	0.551020	0.122449	0.326531	
20330.054362	0.693878	0.244898	0.061224	
-204.693668	0.734694	0.081633	0.183673	
18004.484708	0.836735	0.040816	0.122449	
23535.111867	0.897959	0.020408	0.081633	
29610.758011	0.795918	0.163265	0.040816	
6375.737875	0.571429	0.244898	0.183673	
-14362.194244	0.306122	0.489796	0.204082	
18135.046236	0.755102	0.183673	0.061224	
1847.667859	0.673469	0.142857	0.183673	
-16159.801611	0.612245	0.142857	0.244898	
-16181.191202	0.612245	0.142857	0.244898	
-32493.188916	0.551020	0.040816	0.408163	
-14464.401719	0.551020	0.183673	0.265306	
15865.431300	0.693878	0.142857	0.163265	
25502.249756	0.693878	0.265306	0.040816	
5743.020898	0.714286	0.102041	0.183673	
1150.535717	0.591837	0.265306	0.142857	
2616.754880	0.632653	0.183673	0.183673	
27591.902354	0.795918	0.142857	0.061224	
23232.666926	0.714286	0.204082	0.081633	
472.017151	0.734694	0.061224	0.204082	
8235.590926	0.632653	0.204082	0.163265	
8636.299133	0.510204	0.448980	0.040816	
-467.826386	0.673469	0.102041	0.224490	
-27366.994184	0.510204	0.163265	0.326531	
26477.244785	0.734694	0.224490	0.040816	
-1301.041329	0.673469	0.102041	0.224490	
21592.982844	0.714286	0.244898	0.040816	
10277.154226	0.673469	0.285714	0.040816	
-8302.192785	0.693878	0.061224	0.244898	
11671.512607	0.714286	0.142857	0.142857	
21469.625866	0.836735	0.102041	0.061224	
-32755.216258	0.530612	0.122449	0.346939	
28223.543860	0.816327	0.102041	0.081633	
13357.828968	0.775510	0.081633	0.142857	
-201.952271	0.653061	0.163265	0.183673	
15489.987176	0.775510	0.081633	0.142857	
21857.739799	0.673469	0.244898	0.081633	
-1931.959346	0.448980	0.367347	0.183673	
13609.819234	0.734694	0.102041	0.163265	
26483.002151	0.755102	0.224490	0.020408	
5990.754293	0.612245	0.265306	0.122449	
21189.844823	0.795918	0.081633	0.122449	
-6678.541336	0.571429	0.102041	0.326531	
-22485.951116	0.591837	0.081633	0.326531	
-592.919653	0.571429	0.142857	0.285714	
-24816.581714	0.571429	0.061224	0.367347	
-27976.818121	0.367347	0.326531	0.306122	
7779.888126	0.775510	0.040816	0.183673	
-27409.647808	0.469388	0.163265	0.367347	
25240.016857	0.816327	0.081633	0.102041	
13330.781705	0.632653	0.204082	0.163265	
4587.744403	0.673469	0.163265	0.163265	
-45370.302114	0.367347	0.428571	0.204082	
8772.219178	0.714286	0.122449	0.163265	
-30076.819195	0.306122	0.428571	0.265306	
-16348.960229	0.530612	0.102041	0.367347	
-9137.078314	0.632653	0.061224	0.306122	
10700.859505	0.714286	0.122449	0.163265	
29563.803196	0.877551	0.081633	0.040816	
-18633.780808	0.204082	0.673469	0.122449	
-33794.645200	0.510204	0.102041	0.387755	
-14595.401679	0.591837	0.122449	0.285714	
-2581.904173	0.693878	0.102041	0.204082	
29502.592863	0.795918	0.183673	0.020408	
-19915.275044	0.469388	0.285714	0.244898	
9232.557194	0.755102	0.102041	0.142857	
-40428.184348	0.204082	0.387755	0.408163	
-93436.362697	0.224490	0.020408	0.755102	
14219.007906	0.734694	0.122449	0.142857	
16249.204430	0.530612	0.387755	0.081633	
-8979.640713	0.530612	0.285714	0.183673	
11314.043249	0.673469	0.122449	0.204082	
10034.111311	0.755102	0.122449	0.122449	
16558.324277	0.693878	0.163265	0.142857	
